lieu,type_lieu,parent_lieu,parent_slug,marque,date_information,prix_paquet_eur,prix_paquet_local,devise_locale_code,devise_locale_nom,prix_moyen_eur_courant,prix_min_eur_courant,prix_max_eur_courant,prix_moyen_local_courant,prix_min_local_courant,prix_max_local_courant,date_derniere_mise_a_jour,annee_page,source_url,source_page_url,source_type
Yambol,ville,Bulgarie,bulgarie,Marlboro,2026-04-22,3.54,7,BGN,Lev,3.54,3.17,4.5,7,6,9,2026-04-22,2026,https://www.combien-coute.net/cigarette/bulgarie/yambol/,https://www.combien-coute.net/cigarette/bulgarie/yambol/,detail
Boromo,ville,Burkina Faso,burkina-faso,Marlboro,2024-01-23,1.52,1000,F CFA (XOF),Franc CFA,1.52,1.52,1.83,1000,1000,1203,2024-01-23,2026,https://www.combien-coute.net/cigarette/burkina-faso/boromo/,https://www.combien-coute.net/cigarette/burkina-faso/boromo/,detail
Dori,ville,Burkina Faso,burkina-faso,Marlboro,2024-01-23,1.52,1000,F CFA (XOF),Franc CFA,1.52,1.52,1.83,1000,1000,1203,2024-01-23,2026,https://www.combien-coute.net/cigarette/burkina-faso/dori/,https://www.combien-coute.net/cigarette/burkina-faso/dori/,detail
Ouagadougou,ville,Burkina Faso,burkina-faso,Marlboro,2026-05-01,1.3,848,F CFA (XOF),Franc CFA,1.3,1.07,1.7,848,698,1109,2026-05-01,2026,https://www.combien-coute.net/cigarette/burkina-faso/ouagadougou/,https://www.combien-coute.net/cigarette/burkina-faso/ouagadougou/,detail
Ouahigouya,ville,Burkina Faso,burkina-faso,Marlboro,2024-01-23,1.52,1000,F CFA (XOF),Franc CFA,1.52,1.52,1.84,1000,1000,1204,2024-01-23,2026,https://www.combien-coute.net/cigarette/burkina-faso/ouahigouya/,https://www.combien-coute.net/cigarette/burkina-faso/ouahigouya/,detail
Bujumbura,ville,Burundi,burundi,Marlboro,2025-11-24,2.11,7157,BIF,Franc du Burundi,2.11,,,7157,,,2025-11-24,2026,https://www.combien-coute.net/cigarette/burundi/bujumbura/,https://www.combien-coute.net/cigarette/burundi/bujumbura/,detail
Gitega,ville,Burundi,burundi,Marlboro,2017-11-21,3.91,5,BIF,Franc du Burundi,3.91,3.91,3.91,5,5,5,2017-11-21,2026,https://www.combien-coute.net/cigarette/burundi/gitega/,https://www.combien-coute.net/cigarette/burundi/gitega/,detail
Muyinga,ville,Burundi,burundi,Marlboro,2017-11-21,3.91,5,BIF,Franc du Burundi,3.91,3.91,3.91,5,5,5,2017-11-21,2026,https://www.combien-coute.net/cigarette/burundi/muyinga/,https://www.combien-coute.net/cigarette/burundi/muyinga/,detail
Ngozi,ville,Burundi,burundi,Marlboro,2017-11-21,3.91,5,BIF,Franc du Burundi,3.91,3.91,3.91,5,5,5,2017-11-21,2026,https://www.combien-coute.net/cigarette/burundi/ngozi/,https://www.combien-coute.net/cigarette/burundi/ngozi/,detail
Cotonou,ville,Bénin,benin,Marlboro,2017-11-21,0.91,600,F CFA (XOF),Franc CFA-BCEAO,0.91,,,600,,,2017-11-21,2026,https://www.combien-coute.net/cigarette/benin/cotonou/,https://www.combien-coute.net/cigarette/benin/cotonou/,detail
Bakersfield,ville,Californie,californie,Marlboro,2026-04-17,8.49,10,$ (USD),dollar américain,8.49,8.3,9.94,10,10,12,2026-04-17,2026,https://www.combien-coute.net/cigarette/californie/bakersfield/,https://www.combien-coute.net/cigarette/californie/bakersfield/,detail
Chico,ville,Californie,californie,Marlboro,2026-04-17,6.79,8,$ (USD),dollar américain,6.79,6.79,10.61,8,8,13,2026-04-17,2026,https://www.combien-coute.net/cigarette/californie/chico/,https://www.combien-coute.net/cigarette/californie/chico/,detail
Eureka,ville,Californie,californie,Marlboro,2026-04-18,8.07,10,$ (USD),dollar américain,8.07,7.64,8.49,10,9,10,2026-04-18,2026,https://www.combien-coute.net/cigarette/californie/eureka/,https://www.combien-coute.net/cigarette/californie/eureka/,detail
Hollywood,ville,Californie,californie,Marlboro,2026-04-24,10.27,12,$ (USD),dollar américain,10.27,8.9,11.12,12,10,13,2026-04-24,2026,https://www.combien-coute.net/cigarette/californie/hollywood/,https://www.combien-coute.net/cigarette/californie/hollywood/,detail
Huntington Beach,ville,Californie,californie,Marlboro,2026-04-16,9.21,11,$ (USD),dollar américain,9.21,8.05,12.71,11,9,15,2026-04-16,2026,https://www.combien-coute.net/cigarette/californie/huntington-beach/,https://www.combien-coute.net/cigarette/californie/huntington-beach/,detail
Los Angeles,ville,Californie,californie,Marlboro,2026-04-19,10.19,12,$ (USD),dollar américain,10.19,8.5,11.89,12,10,14,2026-04-19,2026,https://www.combien-coute.net/cigarette/californie/los-angeles-californie/,https://www.combien-coute.net/cigarette/californie/los-angeles-californie/,detail
Palm Springs,ville,Californie,californie,Marlboro,2026-04-23,10.13,12,$ (USD),dollar américain,10.13,8.54,12.81,12,10,15,2026-04-23,2026,https://www.combien-coute.net/cigarette/californie/palm-springs/,https://www.combien-coute.net/cigarette/californie/palm-springs/,detail
Redding,ville,Californie,californie,Marlboro,2026-04-15,8.9,11,$ (USD),dollar américain,8.9,8.48,12.72,11,10,15,2026-04-15,2026,https://www.combien-coute.net/cigarette/californie/redding/,https://www.combien-coute.net/cigarette/californie/redding/,detail
Sacramento,ville,Californie,californie,Marlboro,2026-04-22,9.97,12,$ (USD),dollar américain,9.97,8.86,12.77,12,10,15,2026-04-22,2026,https://www.combien-coute.net/cigarette/californie/sacramento/,https://www.combien-coute.net/cigarette/californie/sacramento/,detail
San Bernardino,ville,Californie,californie,Marlboro,2026-04-17,9.94,12,$ (USD),dollar américain,9.94,8.99,12.73,12,11,15,2026-04-17,2026,https://www.combien-coute.net/cigarette/californie/san-bernardino/,https://www.combien-coute.net/cigarette/californie/san-bernardino/,detail
San Diego,ville,Californie,californie,Marlboro,2026-04-24,10.02,12,$ (USD),dollar américain,10.02,8.9,11.12,12,10,13,2026-04-24,2026,https://www.combien-coute.net/cigarette/californie/san-diego/,https://www.combien-coute.net/cigarette/californie/san-diego/,detail
San Francisco,ville,Californie,californie,Marlboro,2026-04-18,11.89,14,$ (USD),dollar américain,11.89,9.95,12.74,14,12,15,2026-04-18,2026,https://www.combien-coute.net/cigarette/californie/san-francisco/,https://www.combien-coute.net/cigarette/californie/san-francisco/,detail
San Jose,ville,Californie,californie,Marlboro,2026-04-19,9.95,12,$ (USD),dollar américain,9.95,8.84,9.95,12,10,12,2026-04-19,2026,https://www.combien-coute.net/cigarette/californie/san-jose-usa/,https://www.combien-coute.net/cigarette/californie/san-jose-usa/,detail
San Luis Obispo,ville,Californie,californie,Marlboro,2026-04-20,9.98,12,$ (USD),dollar américain,9.98,8.52,11.93,12,10,14,2026-04-20,2026,https://www.combien-coute.net/cigarette/californie/san-luis-obispo/,https://www.combien-coute.net/cigarette/californie/san-luis-obispo/,detail
Santa Barbara,ville,Californie,californie,Marlboro,2026-04-24,10.02,12,$ (USD),dollar américain,10.02,9.06,12.84,12,11,15,2026-04-24,2026,https://www.combien-coute.net/cigarette/californie/santa-barbara/,https://www.combien-coute.net/cigarette/californie/santa-barbara/,detail
Santa Cruz (Californie),ville,Californie,californie,Marlboro,2026-04-15,9.93,12,$ (USD),dollar américain,9.93,9.93,15.26,12,12,18,2026-04-15,2026,https://www.combien-coute.net/cigarette/californie/santa-cruz-californie/,https://www.combien-coute.net/cigarette/californie/santa-cruz-californie/,detail
Santa Monica,ville,Californie,californie,Marlboro,2026-04-23,10,12,$ (USD),dollar américain,10,8.88,11.1,12,10,13,2026-04-23,2026,https://www.combien-coute.net/cigarette/californie/santa-monica/,https://www.combien-coute.net/cigarette/californie/santa-monica/,detail
Temecula,ville,Californie,californie,Marlboro,2026-04-17,10.19,12,$ (USD),dollar américain,10.19,8.49,11.88,12,10,14,2026-04-17,2026,https://www.combien-coute.net/cigarette/californie/temecula/,https://www.combien-coute.net/cigarette/californie/temecula/,detail
Battambang,ville,Cambodge,cambodge,Marlboro,2026-04-19,1.7,8020,KHR,Riel,1.7,1.49,2.55,8020,7029,12029,2026-04-19,2026,https://www.combien-coute.net/cigarette/cambodge/battambang/,https://www.combien-coute.net/cigarette/cambodge/battambang/,detail
Kampot,ville,Cambodge,cambodge,Marlboro,2026-04-26,1.49,6987,KHR,Riel,1.49,1.28,1.71,6987,6002,8018,2026-04-26,2026,https://www.combien-coute.net/cigarette/cambodge/kampot/,https://www.combien-coute.net/cigarette/cambodge/kampot/,detail
Phnom Penh,ville,Cambodge,cambodge,Marlboro,2026-04-27,1.71,8018,KHR,Riel,1.71,1.49,2.56,8018,6987,12004,2026-04-27,2026,https://www.combien-coute.net/cigarette/cambodge/phnom-penh/,https://www.combien-coute.net/cigarette/cambodge/phnom-penh/,detail
Poipet,ville,Cambodge,cambodge,Marlboro,2026-04-26,1.28,6002,KHR,Riel,1.28,0.85,1.71,6002,3986,8018,2026-04-26,2026,https://www.combien-coute.net/cigarette/cambodge/poipet/,https://www.combien-coute.net/cigarette/cambodge/poipet/,detail
Siem Reap (Temples d'Angkor),ville,Cambodge,cambodge,Marlboro,2026-04-28,1.28,6006,KHR,Riel,1.28,0.85,1.71,6006,3988,8023,2026-04-28,2026,https://www.combien-coute.net/cigarette/cambodge/siem-reap-angkor/,https://www.combien-coute.net/cigarette/cambodge/siem-reap-angkor/,detail
Sihanoukville,ville,Cambodge,cambodge,Marlboro,2026-04-28,1.28,6006,KHR,Riel,1.28,0.85,2.56,6006,3988,12011,2026-04-28,2026,https://www.combien-coute.net/cigarette/cambodge/sihanoukville/,https://www.combien-coute.net/cigarette/cambodge/sihanoukville/,detail
Bafoussam,ville,Cameroun,cameroun,Marlboro,2025-12-19,3.05,2000,F CFA (XAF),Franc CFA,3.05,1.52,3.05,2000,997,2000,2025-12-19,2026,https://www.combien-coute.net/cigarette/cameroun/bafoussam/,https://www.combien-coute.net/cigarette/cameroun/bafoussam/,detail
Bamenda,ville,Cameroun,cameroun,Marlboro,2026-04-18,1.37,898,F CFA (XAF),Franc CFA,1.37,1.22,1.52,898,800,997,2026-04-18,2026,https://www.combien-coute.net/cigarette/cameroun/bamenda/,https://www.combien-coute.net/cigarette/cameroun/bamenda/,detail
Buéa,ville,Cameroun,cameroun,Marlboro,2025-12-18,3.05,1995,F CFA (XAF),Franc CFA,3.05,1.52,3.05,1995,994,1995,2025-12-18,2026,https://www.combien-coute.net/cigarette/cameroun/buea/,https://www.combien-coute.net/cigarette/cameroun/buea/,detail
Douala,ville,Cameroun,cameroun,Marlboro,2025-11-24,3.05,2000,F CFA (XAF),Franc CFA,3.05,1.52,3.05,2000,997,2000,2025-11-24,2026,https://www.combien-coute.net/cigarette/cameroun/douala/,https://www.combien-coute.net/cigarette/cameroun/douala/,detail
Kumba,ville,Cameroun,cameroun,Marlboro,2025-12-26,3.05,1998,F CFA (XAF),Franc CFA,3.05,1.52,3.05,1998,996,1998,2025-12-26,2026,https://www.combien-coute.net/cigarette/cameroun/kumba/,https://www.combien-coute.net/cigarette/cameroun/kumba/,detail
Yaoundé,ville,Cameroun,cameroun,Marlboro,2025-11-25,1.52,997,F CFA (XAF),Franc CFA,1.52,0.76,3.05,997,499,2001,2025-11-25,2026,https://www.combien-coute.net/cigarette/cameroun/yaounde/,https://www.combien-coute.net/cigarette/cameroun/yaounde/,detail
Bathurst,ville,Canada,canada,Marlboro,2026-04-19,8.63,14,$ (CAD),Dollar canadien,8.63,8.63,13.56,14,14,22,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/bathurst/,https://www.combien-coute.net/cigarette/canada/bathurst/,detail
Brampton,ville,Canada,canada,Marlboro,2025-11-24,11.09,18,$ (CAD),Dollar canadien,11.09,9.24,11.71,18,15,19,2025-11-24,2026,https://www.combien-coute.net/cigarette/canada/brampton/,https://www.combien-coute.net/cigarette/canada/brampton/,detail
Brandon,ville,Canada,canada,Marlboro,2026-04-18,13.56,22,$ (CAD),Dollar canadien,13.56,11.1,16.64,22,18,27,2026-04-18,2026,https://www.combien-coute.net/cigarette/canada/brandon/,https://www.combien-coute.net/cigarette/canada/brandon/,detail
Calgary,ville,Canada,canada,Marlboro,2026-04-17,12.39,20,$ (CAD),Dollar canadien,12.39,10.41,16.73,20,17,27,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/calgary/,https://www.combien-coute.net/cigarette/canada/calgary/,detail
Canmore,ville,Canada,canada,Marlboro,2026-04-27,12.49,20,$ (CAD),Dollar canadien,12.49,10.39,12.49,20,17,20,2026-04-27,2026,https://www.combien-coute.net/cigarette/canada/canmore/,https://www.combien-coute.net/cigarette/canada/canmore/,detail
Charlottetown,ville,Canada,canada,Marlboro,2026-04-19,15.41,25,$ (CAD),Dollar canadien,15.41,13.56,15.41,25,22,25,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/charlottetown/,https://www.combien-coute.net/cigarette/canada/charlottetown/,detail
Cold Lake,ville,Canada,canada,Marlboro,2026-04-19,10.4,17,$ (CAD),Dollar canadien,10.4,10.4,15.41,17,17,25,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/cold-lake/,https://www.combien-coute.net/cigarette/canada/cold-lake/,detail
Corner Brook,ville,Canada,canada,Marlboro,2023-04-12,13.62,20,$ (CAD),Dollar canadien,13.62,,,20,,,2023-04-12,2026,https://www.combien-coute.net/cigarette/canada/corner-brook/,https://www.combien-coute.net/cigarette/canada/corner-brook/,detail
Courtenay,ville,Canada,canada,Marlboro,2026-04-18,12.33,20,$ (CAD),Dollar canadien,12.33,9.86,14.18,20,16,23,2026-04-18,2026,https://www.combien-coute.net/cigarette/canada/courtenay/,https://www.combien-coute.net/cigarette/canada/courtenay/,detail
Cranbrook,ville,Canada,canada,Marlboro,2026-04-19,12.33,20,$ (CAD),Dollar canadien,12.33,10.27,12.33,20,17,20,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/cranbrook/,https://www.combien-coute.net/cigarette/canada/cranbrook/,detail
Dawson City,ville,Canada,canada,Marlboro,2017-11-21,11.97,18,$ (CAD),Dollar canadien,11.97,,,18,,,2017-11-21,2026,https://www.combien-coute.net/cigarette/canada/dawson-city/,https://www.combien-coute.net/cigarette/canada/dawson-city/,detail
Edmonton,ville,Canada,canada,Marlboro,2026-04-15,12.32,20,$ (CAD),Dollar canadien,12.32,11.09,15.4,20,18,25,2026-04-15,2026,https://www.combien-coute.net/cigarette/canada/edmonton/,https://www.combien-coute.net/cigarette/canada/edmonton/,detail
Fort McMurray,ville,Canada,canada,Marlboro,2025-11-25,13.53,22,$ (CAD),Dollar canadien,13.53,13.53,15.38,22,22,25,2025-11-25,2026,https://www.combien-coute.net/cigarette/canada/fort-mcmurray/,https://www.combien-coute.net/cigarette/canada/fort-mcmurray/,detail
Fredericton,ville,Canada,canada,Marlboro,2026-04-18,9.86,16,$ (CAD),Dollar canadien,9.86,9.25,10.48,16,15,17,2026-04-18,2026,https://www.combien-coute.net/cigarette/canada/fredericton/,https://www.combien-coute.net/cigarette/canada/fredericton/,detail
Grande Prairie,ville,Canada,canada,Marlboro,2026-04-19,14.8,24,$ (CAD),Dollar canadien,14.8,13.56,17.26,24,22,28,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/grande-prairie/,https://www.combien-coute.net/cigarette/canada/grande-prairie/,detail
Halifax (Nouvelle Ecosse),ville,Canada,canada,Marlboro,2025-11-24,13.24,22,$ (CAD),Dollar canadien,13.24,11.34,16.63,22,18,27,2025-11-24,2026,https://www.combien-coute.net/cigarette/canada/halifax/,https://www.combien-coute.net/cigarette/canada/halifax/,detail
Kamloops,ville,Canada,canada,Marlboro,2026-04-19,14.18,23,$ (CAD),Dollar canadien,14.18,11.56,18.5,23,19,30,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/kamloops/,https://www.combien-coute.net/cigarette/canada/kamloops/,detail
Kelowna,ville,Canada,canada,Marlboro,2026-04-17,12.39,20,$ (CAD),Dollar canadien,12.39,9.91,15.49,20,16,25,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/kelowna/,https://www.combien-coute.net/cigarette/canada/kelowna/,detail
Kingston (Ontario),ville,Canada,canada,Marlboro,2026-04-17,11.6,19,$ (CAD),Dollar canadien,11.6,8.05,13.63,19,13,22,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/kingston-ontario/,https://www.combien-coute.net/cigarette/canada/kingston-ontario/,detail
Lethbridge,ville,Canada,canada,Marlboro,2026-04-17,12.39,20,$ (CAD),Dollar canadien,12.39,10.31,12.39,20,17,20,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/lethbridge/,https://www.combien-coute.net/cigarette/canada/lethbridge/,detail
Lloydminster,ville,Canada,canada,Marlboro,2026-04-19,12.82,21,$ (CAD),Dollar canadien,12.82,11.1,14.18,21,18,23,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/lloydminster/,https://www.combien-coute.net/cigarette/canada/lloydminster/,detail
Medicine Hat,ville,Canada,canada,Marlboro,2026-04-18,9.86,16,$ (CAD),Dollar canadien,9.86,9.25,16.65,16,15,27,2026-04-18,2026,https://www.combien-coute.net/cigarette/canada/medicine-hat/,https://www.combien-coute.net/cigarette/canada/medicine-hat/,detail
Moncton,ville,Canada,canada,Marlboro,2026-04-18,12.33,20,$ (CAD),Dollar canadien,12.33,9.86,13.56,20,16,22,2026-04-18,2026,https://www.combien-coute.net/cigarette/canada/moncton/,https://www.combien-coute.net/cigarette/canada/moncton/,detail
Nanaimo,ville,Canada,canada,Marlboro,2026-04-18,10.79,17,$ (CAD),Dollar canadien,10.79,9.25,12.33,17,15,20,2026-04-18,2026,https://www.combien-coute.net/cigarette/canada/nanaimo/,https://www.combien-coute.net/cigarette/canada/nanaimo/,detail
Norman Wells,ville,Canada,canada,Marlboro,2017-11-21,13.96,21,$ (CAD),Dollar canadien,13.96,,,21,,,2017-11-21,2026,https://www.combien-coute.net/cigarette/canada/norman-wells/,https://www.combien-coute.net/cigarette/canada/norman-wells/,detail
North Bay,ville,Canada,canada,Marlboro,2026-04-18,11.1,18,$ (CAD),Dollar canadien,11.1,9.25,15.41,18,15,25,2026-04-18,2026,https://www.combien-coute.net/cigarette/canada/north-bay/,https://www.combien-coute.net/cigarette/canada/north-bay/,detail
Ottawa,ville,Canada,canada,Marlboro,2026-04-17,12.39,20,$ (CAD),Dollar canadien,12.39,11.15,15.49,20,18,25,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/ottawa/,https://www.combien-coute.net/cigarette/canada/ottawa/,detail
Owen Sound,ville,Canada,canada,Marlboro,2026-04-19,11.83,19,$ (CAD),Dollar canadien,11.83,11.24,12.33,19,18,20,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/owen-sound/,https://www.combien-coute.net/cigarette/canada/owen-sound/,detail
Penticton,ville,Canada,canada,Marlboro,2026-04-18,11.25,18,$ (CAD),Dollar canadien,11.25,11.1,11.41,18,18,18,2026-04-18,2026,https://www.combien-coute.net/cigarette/canada/penticton/,https://www.combien-coute.net/cigarette/canada/penticton/,detail
Prince George,ville,Canada,canada,Marlboro,2026-04-17,13.01,21,$ (CAD),Dollar canadien,13.01,12.39,15.49,21,20,25,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/prince-george/,https://www.combien-coute.net/cigarette/canada/prince-george/,detail
Québec,ville,Canada,canada,Marlboro,2026-04-25,8,,$ (CAD),Dollar canadien,8,,,,,,2026-04-25,2026,https://www.combien-coute.net/cigarette/canada/quebec/,https://www.combien-coute.net/cigarette/canada/,liste_parent
Red Deer,ville,Canada,canada,Marlboro,2026-04-19,13.81,22,$ (CAD),Dollar canadien,13.81,12.95,15.25,22,21,25,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/red-deer/,https://www.combien-coute.net/cigarette/canada/red-deer/,detail
Regina,ville,Canada,canada,Marlboro,2026-04-15,12.69,21,$ (CAD),Dollar canadien,12.69,11.7,12.81,21,19,21,2026-04-15,2026,https://www.combien-coute.net/cigarette/canada/regina/,https://www.combien-coute.net/cigarette/canada/regina/,detail
Saint John (Nouveau-Brunswick),ville,Canada,canada,Marlboro,2026-04-27,12.49,20,$ (CAD),Dollar canadien,12.49,9.99,13.73,20,16,22,2026-04-27,2026,https://www.combien-coute.net/cigarette/canada/saint-jean/,https://www.combien-coute.net/cigarette/canada/saint-jean/,detail
Saskatoon,ville,Canada,canada,Marlboro,2026-04-17,12.88,21,$ (CAD),Dollar canadien,12.88,11.15,14.25,21,18,23,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/saskatoon/,https://www.combien-coute.net/cigarette/canada/saskatoon/,detail
Sydney (Nouvelle-Écosse),ville,Canada,canada,Marlboro,2017-11-20,18.43,29,$ (CAD),Dollar canadien,18.43,16.11,19.33,29,25,30,2017-11-20,2026,https://www.combien-coute.net/cigarette/canada/sydney-nouvelle-ecosse/,https://www.combien-coute.net/cigarette/canada/sydney-nouvelle-ecosse/,detail
Terrace,ville,Canada,canada,Marlboro,2017-11-21,4.65,7,$ (CAD),Dollar canadien,4.65,4.65,4.65,7,7,7,2017-11-21,2026,https://www.combien-coute.net/cigarette/canada/terrace/,https://www.combien-coute.net/cigarette/canada/terrace/,detail
Thunder Bay,ville,Canada,canada,Marlboro,2026-04-19,9.25,15,$ (CAD),Dollar canadien,9.25,8.88,11.1,15,14,18,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/thunder-bay/,https://www.combien-coute.net/cigarette/canada/thunder-bay/,detail
Toronto (Ontario),ville,Canada,canada,Marlboro,2026-04-17,12.64,20,$ (CAD),Dollar canadien,12.64,9.29,15.49,20,15,25,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/toronto-ontario/,https://www.combien-coute.net/cigarette/canada/toronto-ontario/,detail
Vancouver (Colombie Britannique),ville,Canada,canada,Marlboro,2026-04-17,13.32,22,$ (CAD),Dollar canadien,13.32,12.39,15.49,22,20,25,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/vancouver-colombie-britannique/,https://www.combien-coute.net/cigarette/canada/vancouver-colombie-britannique/,detail
Victoria,ville,Canada,canada,Marlboro,2025-11-22,13.39,22,$ (CAD),Dollar canadien,13.39,11.08,24.63,22,18,40,2025-11-22,2026,https://www.combien-coute.net/cigarette/canada/victoria/,https://www.combien-coute.net/cigarette/canada/victoria/,detail
Whistler,ville,Canada,canada,Marlboro,2026-04-15,11.09,18,$ (CAD),Dollar canadien,11.09,9.85,18.48,18,16,30,2026-04-15,2026,https://www.combien-coute.net/cigarette/canada/whistler/,https://www.combien-coute.net/cigarette/canada/whistler/,detail
Whitehorse (Yukon),ville,Canada,canada,Marlboro,2025-11-24,16.63,27,$ (CAD),Dollar canadien,16.63,15.4,16.63,27,25,27,2025-11-24,2026,https://www.combien-coute.net/cigarette/canada/whitehorse/,https://www.combien-coute.net/cigarette/canada/whitehorse/,detail
Winnipeg (Manitoba),ville,Canada,canada,Marlboro,2026-04-17,13.63,22,$ (CAD),Dollar canadien,13.63,11.77,16.72,22,19,27,2026-04-17,2026,https://www.combien-coute.net/cigarette/canada/winnipeg/,https://www.combien-coute.net/cigarette/canada/winnipeg/,detail
Yellowknife (Territoire du Nord-Ouest),ville,Canada,canada,Marlboro,2026-04-20,15.25,25,$ (CAD),Dollar canadien,15.25,14.94,15.56,25,24,25,2026-04-20,2026,https://www.combien-coute.net/cigarette/canada/yellowknife-territoire-du-nord/,https://www.combien-coute.net/cigarette/canada/yellowknife-territoire-du-nord/,detail
Yorkton,ville,Canada,canada,Marlboro,2026-04-19,12.82,21,$ (CAD),Dollar canadien,12.82,11.1,14.18,21,18,23,2026-04-19,2026,https://www.combien-coute.net/cigarette/canada/yorkton/,https://www.combien-coute.net/cigarette/canada/yorkton/,detail
Fuerteventura,ville,Canaries,iles-canaries,Marlboro,2026-04-30,4,,,,4,,,,,,2026-04-30,2026,https://www.combien-coute.net/cigarette/iles-canaries/fuerteventura/,https://www.combien-coute.net/cigarette/iles-canaries/,liste_parent
Grande Canarie,ville,Canaries,iles-canaries,Marlboro,2026-04-30,4,,,,4,,,,,,2026-04-30,2026,https://www.combien-coute.net/cigarette/iles-canaries/grande-canarie/,https://www.combien-coute.net/cigarette/iles-canaries/,liste_parent
La Palma,ville,Canaries,iles-canaries,Marlboro,2026-04-30,3.8,,,,3.8,,,,,,2026-04-30,2026,https://www.combien-coute.net/cigarette/iles-canaries/palma/,https://www.combien-coute.net/cigarette/iles-canaries/,liste_parent
Lanzarote,ville,Canaries,iles-canaries,Marlboro,2026-04-30,4,,,,4,,,,,,2026-04-30,2026,https://www.combien-coute.net/cigarette/iles-canaries/lanzarote/,https://www.combien-coute.net/cigarette/iles-canaries/,liste_parent
Tenerife,ville,Canaries,iles-canaries,Marlboro,2026-04-30,4.5,,,,4.5,,,,,,2026-04-30,2026,https://www.combien-coute.net/cigarette/iles-canaries/tenerife/,https://www.combien-coute.net/cigarette/iles-canaries/,liste_parent
Assomada,ville,Cap-Vert,cap-vert,Marlboro,2024-01-27,4.08,450,CVE,escudo du Cap-Vert,4.08,4.08,4.08,450,450,450,2024-01-27,2026,https://www.combien-coute.net/cigarette/cap-vert/assomada/,https://www.combien-coute.net/cigarette/cap-vert/assomada/,detail
Cidade Velha,ville,Cap-Vert,cap-vert,Marlboro,2024-01-31,4.09,450,CVE,escudo du Cap-Vert,4.09,4.09,4.09,450,450,450,2024-01-31,2026,https://www.combien-coute.net/cigarette/cap-vert/cidade-velha/,https://www.combien-coute.net/cigarette/cap-vert/cidade-velha/,detail
Mindelo,ville,Cap-Vert,cap-vert,Marlboro,2026-04-24,4.53,499,CVE,escudo du Cap-Vert,4.53,,,499,,,2026-04-24,2026,https://www.combien-coute.net/cigarette/cap-vert/mindelo/,https://www.combien-coute.net/cigarette/cap-vert/mindelo/,detail
Praia,ville,Cap-Vert,cap-vert,Marlboro,2026-04-20,4.09,451,CVE,escudo du Cap-Vert,4.09,,,451,,,2026-04-20,2026,https://www.combien-coute.net/cigarette/cap-vert/praia/,https://www.combien-coute.net/cigarette/cap-vert/praia/,detail
Cebu City,ville,Cebu (îles des Visayas),cebu,Marlboro,2026-04-14,2.61,184,₱ (PHP),Peso philippin,2.61,2.61,2.72,184,184,191,2026-04-14,2026,https://www.combien-coute.net/cigarette/cebu/cebu-city/,https://www.combien-coute.net/cigarette/cebu/cebu-city/,detail
Naga,ville,Cebu (îles des Visayas),cebu,Marlboro,2025-11-23,2.66,180,₱ (PHP),Peso philippin,2.66,2.21,2.95,180,150,200,2025-11-23,2026,https://www.combien-coute.net/cigarette/cebu/naga/,https://www.combien-coute.net/cigarette/cebu/naga/,detail
Bourges (Cher/Berry),ville,Centre-Val de Loire,centre,Marlboro,2026-04-18,12.5,,,,12.5,12,13,,,,2026-04-18,2026,https://www.combien-coute.net/cigarette/centre/bourges/,https://www.combien-coute.net/cigarette/centre/bourges/,detail
Chartres,ville,Centre-Val de Loire,centre,Marlboro,2026-04-18,10,,,,10,10,14,,,,2026-04-18,2026,https://www.combien-coute.net/cigarette/centre/chartres/,https://www.combien-coute.net/cigarette/centre/chartres/,detail
Chateauroux (Indre),ville,Centre-Val de Loire,centre,Marlboro,2026-04-18,13,,,,13,11.5,14,,,,2026-04-18,2026,https://www.combien-coute.net/cigarette/centre/chateauroux/,https://www.combien-coute.net/cigarette/centre/chateauroux/,detail
Dreux,ville,Centre-Val de Loire,centre,Marlboro,2026-04-19,12.5,,,,12.5,12,18,,,,2026-04-19,2026,https://www.combien-coute.net/cigarette/centre/dreux/,https://www.combien-coute.net/cigarette/centre/dreux/,detail
Orléans,ville,Centre-Val de Loire,centre,Marlboro,2026-04-18,13,,,,13,11.5,20,,,,2026-04-18,2026,https://www.combien-coute.net/cigarette/centre/orleans/,https://www.combien-coute.net/cigarette/centre/orleans/,detail
